iter	Passed	Remaining
713	2158	28077
714	2161	28069
715	2163	28057
716	2166	28043
717	2168	28032
718	2170	28017
719	2174	28022
720	2177	28025
721	2180	28019
722	2183	28018
723	2186	28011
724	2192	28048
725	2195	28041
726	2197	28034
727	2200	28020
728	2205	28042
729	2207	28031
730	2209	28020
731	2213	28022
732	2216	28026
733	2220	28026
734	2222	28016
735	2224	28004
736	2227	27992
737	2229	27980
738	2231	27965
739	2234	27956
740	2237	27963
741	2240	27957
742	2243	27946
743	2245	27935
744	2248	27927
745	2250	27918
746	2254	27925
747	2256	27914
748	2259	27901
749	2261	27893
750	2264	27886
751	2268	27896
752	2271	27891
753	2273	27881
754	2277	27891
755	2280	27889
756	2284	27896
757	2287	27891
758	2289	27879
759	2292	27868
760	2294	27856
761	2296	27843
762	2298	27830
763	2301	27818
764	2303	27806
765	2306	27806
766	2309	27798
767	2312	27797
768	2315	27798
769	2319	27798
770	2321	27794
771	2324	27783
772	2326	27771
773	2328	27761
774	2332	27759
775	2336	27775
776	2339	27775
777	2342	27768
778	2344	27754
779	2348	27762
780	2351	27755
781	2353	27744
782	2355	27733
783	2358	27723
784	2360	27711
785	2363	27704
786	2367	27715
787	2371	27719
788	2373	27712
789	2376	27700
790	2378	27687
791	2381	27692
792	2384	27684
793	2386	27672
794	2389	27663
795	2391	27652
796	2393	27639
797	2398	27654
798	2402	27670
799	2405	27662
800	2407	27652
801	2409	27639
802	2415	27660
803	2417	27650
804	2419	27639
805	2421	27627
806	2425	27632
807	2430	27646
808	2434	27653
809	2436	27648
810	2439	27637
811	2441	27628
812	2444	27625
813	2447	27617
814	2449	27606
815	2451	27596
816	2454	27590
817	2457	27588
818	2460	27578
819	2464	27585
820	2466	27576
821	2469	27573
822	2471	27561
823	2473	27549
824	2478	27560
825	2480	27554
826	2483	27548
827	2487	27549
828	2489	27543
829	2493	27552
830	2497	27553
831	2499	27545
832	2501	27533
833	2504	27523
834	2506	27513
835	2509	27513
836	2512	27508
837	2516	27512
838	2518	27504
839	2521	27495
840	2524	27490
841	2528	27497
842	2531	27499
843	2534	27489
844	2536	27478
845	2539	27478
846	2546	27517
847	2549	27510
848	2551	27500
849	2553	27491
850	2558	27509
851	2561	27498
852	2564	27494
853	2566	27487
854	2569	27480
855	2574	27498
856	2577	27500
857	2580	27495
858	2583	27488
859	2585	27478
860	2589	27487
861	2592	27487
862	2596	27487
863	2598	27476
864	2600	27467
865	2606	27490
866	2610	27501
867	2613	27495
868	2615	27485
869	2617	27473
870	2623	27495
871	2625	27486
872	2627	27472
873	2630	27461
874	2632	27453
875	2635	27448
876	2638	27450
877	2641	27447
878	2644	27436
879	2646	27425
880	2649	27424
881	2653	27428
882	2656	27423
883	2658	27418
884	2662	27420
885	2666	27424
886	2670	27439
887	2673	27437
888	2676	27428
889	2678	27418
890	2680	27408
891	2683	27399
892	2685	27389
893	2687	27377
894	2690	27370
895	2692	27360
896	2695	27351
897	2697	27343
898	2700	27338
899	2703	27337
900	2706	27327
901	2708	27315
902	2710	27304
903	2712	27294
904	2715	27287
905	2717	27281
906	2721	27286
907	2724	27283
908	2727	27280
909	2730	27271
910	2733	27273
911	2736	27266
912	2738	27256
913	2740	27246
914	2743	27236
915	2745	27231
916	2748	27225
917	2751	27216
918	2753	27209
919	2756	27200
920	2758	27191
921	2760	27181
922	2762	27170
923	2765	27168
924	2768	27164
925	2772	27163
926	2774	27153
927	2776	27144
928	2779	27144
929	2785	27168
930	2788	27161
931	2790	27150
932	2792	27139
933	2795	27134
934	2798	27136
935	2801	27127
936	2803	27118
